id,name,description,era,categories,tags,visual_elements,color_palette,mood_keywords,related_aesthetics,media_examples,reference example images,origin,category
727,Regency,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Regency aesthetic.",1920s,music,"rural,futuristic,natural,grungy","album covers,concert visuals,music videos,band imagery,sound equipment,sleek designs,metallic surfaces,LED lighting","earth brown,sunset orange,forest green,electric blue,neon purple,white","progressive,innovative,grungy,futuristic,raw",,,,,
728,Reggaetonero,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Reggaetonero aesthetic.",1970s,music,"dark,nostalgic","album covers,concert visuals,music videos,band imagery,sound equipment,shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,wistful,sentimental,intense,nostalgic",,,,,
729,Regional Gothic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Regional Gothic aesthetic.",1990s,subculture,"modern,vibrant,atmospheric,natural","organic forms,plant life,natural textures,earth tones","sunset orange,forest green,earth brown,sky blue","evocative,atmospheric,energetic,immersive,vibrant",,,/aesthetic_images/gothic/gothic_1.jpg;/aesthetic_images/gothic/gothic_2.jpg;/aesthetic_images/gothic/gothic_3.jpg,,
730,Renewable Corporate Futurism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Renewable Corporate Futurism aesthetic.",1970s,visual_art,"natural,dark,atmospheric,grungy","organic forms,plant life,natural textures,earth tones,shadows,low lighting,dramatic contrasts","charcoal,earth brown,sunset orange,dark gray,black,forest green","brooding,evocative,intense,atmospheric,immersive",,,,,
731,Renovador Movement,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Renovador Movement aesthetic.",pre-1900s,architecture,"grungy,bright","building designs,structural elements,interior spaces,architectural details","electric blue,hot pink,neon green,bright red","grungy,authentic,raw",,,,,
732,Retro-Futurism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Retro-Futurism aesthetic.",1900s,internet_culture,"bright,vibrant,fantasy,cute,digital","digital interfaces,screen aesthetics,online imagery,memes,social media visuals","electric blue,hot pink,neon green,bright red","endearing,charming,energetic,cute,vibrant","Internetcore,Webcore,Cybercore,Glitchcore",,,,
733,Riot Grrrl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Riot Grrrl aesthetic.",1980s,fashion,"digital,futuristic","clothing styles,accessories,textiles,patterns,silhouettes,sleek designs,metallic surfaces,LED lighting","neon pink,electric blue,neon purple,white,lime green,bright purple","innovative,progressive,futuristic",,,,,
734,Rivethead,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rivethead aesthetic.",pre-1900s,architecture,"retro,urban,atmospheric,fantasy","building designs,structural elements,interior spaces,architectural details,city landscapes,street art,concrete structures,neon signs","steel blue,asphalt black,concrete gray,brick red","evocative,immersive,atmospheric",,,,,
735,Roaring 20s,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Roaring 20s aesthetic.",1950s,film,"grungy,digital,fantasy,nostalgic,rural","cinematography,set designs,costume design,lighting,visual effects","turquoise,mint green,yellow,pink","wistful,sentimental,nostalgic,grungy,authentic",,,,,
736,Robotcore,"A core aesthetic centered around robot themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1990s,visual_art,"atmospheric,elegant,futuristic,pastel,dark","refined details,luxurious materials,sophisticated compositions,sleek designs,metallic surfaces,LED lighting,geometric shapes,soft colors","charcoal,pastel pink,electric blue,pastel blue,lavender,neon purple","sophisticated,brooding,evocative,intense,progressive","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/robotcore/robotcore_1.jpg;/aesthetic_images/robotcore/robotcore_2.jpg;/aesthetic_images/robotcore/robotcore_3.jpg,,
737,Rock,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rock aesthetic.",2020s,internet_culture,"futuristic,bright,grungy","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,sleek designs,metallic surfaces,LED lighting","hot pink,electric blue,neon purple,bright red,white,neon green","progressive,innovative,grungy,futuristic,raw","Internetcore,Webcore,Cybercore,Glitchcore",,,,
738,Rockabilly,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rockabilly aesthetic.",1990s,architecture,"modern,atmospheric,cute","building designs,structural elements,interior spaces,architectural details",,"evocative,endearing,charming,atmospheric,cute",,,/aesthetic_images/rockabilly/rockabilly_1.jpg;/aesthetic_images/rockabilly/rockabilly_2.jpg;/aesthetic_images/rockabilly/rockabilly_3.webp,,
739,Rocketpunk,"A punk-influenced aesthetic that combines rocket elements with rebellious, alternative cultural themes and visual styles.",1980s,fashion,"bright,rural,retro","clothing styles,accessories,textiles,patterns,silhouettes","neon pink,hot pink,electric blue,bright red,neon green,lime green",,"Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
740,Rockstar GF,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rockstar GF aesthetic.",1970s,literary,"cute,grungy,dark","shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,intense,endearing,charming,cute",,,,,
741,Rococo,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rococo aesthetic.",1980s,visual_art,"edgy,bright,modern,vibrant,dark","shadows,low lighting,dramatic contrasts","charcoal,neon pink,hot pink,electric blue,bright red,dark gray","brooding,rebellious,intense,energetic,bold",,,,,
742,Roguecore,"A core aesthetic centered around rogue themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1900s,visual_art,"natural,minimalist,urban,vintage,rural","organic forms,plant life,natural textures,earth tones,clean lines,simple forms,negative space,geometric shapes","sage green,earth brown,sunset orange,asphalt black,concrete gray,brick red","clean,serene,minimalist","Softcore,Cottagecore,Fairycore,Darkcore",,,,
743,Romanesque,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Romanesque aesthetic.",1910s,architecture,"vibrant,grungy","building designs,structural elements,interior spaces,architectural details",,"energetic,grungy,vibrant,raw,authentic",,,,,
744,Romantic Academia,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Romantic Academia aesthetic.",2020s,interior_design,"atmospheric,pastel,futuristic,urban,nostalgic","soft colors,gentle gradients,light tones,sleek designs,metallic surfaces,LED lighting,geometric shapes,city landscapes","pastel pink,asphalt black,concrete gray,electric blue,pastel blue,lavender","evocative,wistful,sentimental,progressive,atmospheric",,,,,
745,Romantic Chinese Village,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Romantic Chinese Village aesthetic.",1980s,architecture,"modern,bright,cute","building designs,structural elements,interior spaces,architectural details","neon pink,hot pink,electric blue,bright red,neon green,lime green","cute,endearing,charming",,,,,
746,Romantic Goth,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Romantic Goth aesthetic.",1960s,literary,"fantasy,cute,vibrant,bright",,"electric blue,hot pink,neon green,bright red","endearing,charming,cute,energetic,vibrant",,,,,
747,Romantic Italian,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Romantic Italian aesthetic.",1950s,visual_art,"rural,fantasy,pastel","soft colors,gentle gradients,light tones","mint green,pastel pink,pink,turquoise,pastel blue,lavender",,,,,,
748,Romanticism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Romanticism aesthetic.",1990s,film,"nostalgic,modern,vibrant","cinematography,set designs,costume design,lighting,visual effects",,"wistful,sentimental,energetic,nostalgic,vibrant",,,/aesthetic_images/Romanticism/Romanticism_1.jpg; /aesthetic_images/Romanticism/Romanticism_2.jpg; /aesthetic_images/Romanticism/Romanticism_3.webp,,
749,Rotcore,"A core aesthetic centered around rot themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1970s,visual_art,"urban,natural,elegant","city landscapes,street art,concrete structures,neon signs,organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,asphalt black,concrete gray,brick red,forest green","sophisticated,refined,elegant","Softcore,Cottagecore,Fairycore,Darkcore",,,,
750,Royalcore,"A core aesthetic centered around royal themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",2000s,visual_art,"natural,atmospheric,digital","organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,metallic silver,hot pink,electric blue,lime green","evocative,immersive,atmospheric","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/royalcore/royalcore_1.jpg;/aesthetic_images/royalcore/royalcore_2.jpg;/aesthetic_images/royalcore/royalcore_3.jpg,,
751,Rubberhose,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rubberhose aesthetic.",1900s,literary,"dark,vibrant,atmospheric","shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,evocative,intense,atmospheric,energetic",,,,,
752,Rude Boy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rude Boy aesthetic.",2010s,literary,"grungy,digital,minimalist","clean lines,simple forms,negative space,geometric shapes",,"serene,clean,minimalist,grungy,authentic",,,,,
753,Rustic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rustic aesthetic.",1900s,music,"natural,dark","album covers,concert visuals,music videos,band imagery,sound equipment,organic forms,plant life,natural textures","charcoal,earth brown,sunset orange,dark gray,black,forest green","brooding,intense,mysterious",,,,,
754,Ruta Destroy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Ruta Destroy aesthetic.",1980s,historical,"elegant,digital","refined details,luxurious materials,sophisticated compositions","electric blue,bright purple,neon pink,lime green","sophisticated,refined,elegant",,,,,
755,SK8,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the SK8 aesthetic.",1990s,interior_design,"bright,digital,pastel","soft colors,gentle gradients,light tones","pastel pink,hot pink,electric blue,pastel blue,lavender,bright red",,,,,,
756,Sad Beige,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sad Beige aesthetic.",1970s,film,"vibrant,minimalist,elegant","cinematography,set designs,costume design,lighting,visual effects,clean lines,simple forms,negative space",,"sophisticated,serene,clean,minimalist,refined",,,,,
757,Sadpeople,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sadpeople aesthetic.",2000s,internet_culture,"natural,fantasy","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,organic forms,plant life,natural textures","earth brown,sunset orange,metallic silver,hot pink,electric blue,lime green",,"Internetcore,Webcore,Cybercore,Glitchcore",,,,
758,Safari,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Safari aesthetic.",1960s,fashion,"urban,modern,futuristic","clothing styles,accessories,textiles,patterns,silhouettes,city landscapes,street art,concrete structures","asphalt black,concrete gray,electric blue,neon purple,white,brick red","innovative,progressive,futuristic",,,,,
759,Saint Patrick's Day,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Saint Patrick's Day aesthetic.",1920s,film,"minimalist,digital,futuristic","cinematography,set designs,costume design,lighting,visual effects,clean lines,simple forms,negative space","electric blue,neon purple,white,black,deep red,pearl white","serene,clean,progressive,minimalist,innovative",,,,,
760,Salon Kei,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Salon Kei aesthetic.",2020s,music,"atmospheric,elegant,futuristic,edgy,vintage","album covers,concert visuals,music videos,band imagery,sound equipment,refined details,luxurious materials,sophisticated compositions","sage green,electric blue,neon purple,white,sepia,cream","sophisticated,evocative,rebellious,progressive,atmospheric",,,,,
761,Salvagepunk,"A punk-influenced aesthetic that combines salvage elements with rebellious, alternative cultural themes and visual styles.",2020s,internet_culture,"atmospheric,grungy,nostalgic","digital interfaces,screen aesthetics,online imagery,memes,social media visuals",,"evocative,wistful,sentimental,atmospheric,nostalgic","Solarpunk,Steampunk,Internetcore,Webcore,Cybercore",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
762,Sandalpunk,"A punk-influenced aesthetic that combines sandal elements with rebellious, alternative cultural themes and visual styles.",2000s,internet_culture,"edgy,rural","digital interfaces,screen aesthetics,online imagery,memes,social media visuals","electric blue,metallic silver,hot pink,lime green","edgy,rebellious,bold","Solarpunk,Steampunk,Internetcore,Webcore,Cybercore",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
763,Sanriocore,"A core aesthetic centered around sanrio themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1970s,historical,"fantasy,atmospheric,dark","shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,evocative,intense,atmospheric,immersive","Softcore,Cottagecore,Fairycore,Darkcore",,,,
764,Scandi Girl Winter,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Scandi Girl Winter aesthetic.",1910s,historical,"grungy,digital",,,"grungy,authentic,raw",,,/aesthetic_images/Scandi Girl Winter/Scandi Girl Winter_1.jpg; /aesthetic_images/Scandi Girl Winter/Scandi Girl Winter_2.jpg; /aesthetic_images/Scandi Girl Winter/Scandi Girl Winter_3.webp,,
765,Scandinavian Design,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Scandinavian Design aesthetic.",1940s,interior_design,"bright,atmospheric,modern,cute",,"electric blue,hot pink,neon green,bright red","evocative,endearing,charming,atmospheric,cute",,,/aesthetic_images/Scandinavian Design/Scandinavian Design_1.jpg; /aesthetic_images/Scandinavian Design/Scandinavian Design_2.jpg; /aesthetic_images/Scandinavian Design/Scandinavian Design_3.webp,,
766,Scene Tween,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Scene Tween aesthetic.",1900s,internet_culture,"grungy,retro,cute","digital interfaces,screen aesthetics,online imagery,memes,social media visuals",,"endearing,charming,cute,grungy,authentic","Internetcore,Webcore,Cybercore,Glitchcore",,/aesthetic_images/scene/scene_1.jpg;/aesthetic_images/scene/scene_2.jpg;/aesthetic_images/scene/scene_3.jpg,,
767,Scene,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Scene aesthetic.",pre-1900s,historical,"futuristic,pastel,nostalgic,vintage","sleek designs,metallic surfaces,LED lighting,geometric shapes,soft colors,gentle gradients,light tones,antique objects","sage green,pastel pink,electric blue,pastel blue,lavender,neon purple","wistful,sentimental,progressive,innovative,nostalgic",,,/aesthetic_images/Scene/Scene_1.jpg; /aesthetic_images/Scene/Scene_2.jpg; /aesthetic_images/Scene/Scene_3.webp,,
768,Science Academia,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Science Academia aesthetic.",1920s,film,"modern,edgy","cinematography,set designs,costume design,lighting,visual effects","pearl white,black,deep red,gold","edgy,rebellious,bold",,,,,
769,Scottish Highlands,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Scottish Highlands aesthetic.",1900s,interior_design,"atmospheric,retro,fantasy",,,"evocative,immersive,atmospheric",,,,,
770,Scoutcore,"A core aesthetic centered around scout themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1970s,film,"dark,urban,natural,minimalist,elegant","cinematography,set designs,costume design,lighting,visual effects,shadows,low lighting,dramatic contrasts","charcoal,earth brown,sunset orange,asphalt black,concrete gray,dark gray","brooding,sophisticated,serene,clean,intense","Softcore,Cottagecore,Fairycore,Darkcore",,,,
771,Scrapbook,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Scrapbook aesthetic.",1900s,music,"dark,vintage,nostalgic,futuristic","album covers,concert visuals,music videos,band imagery,sound equipment,shadows,low lighting,dramatic contrasts","charcoal,sage green,metallic silver,electric blue,neon purple,dark gray","brooding,wistful,sentimental,intense,progressive",,,,,
772,Scrapper,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Scrapper aesthetic.",2010s,literary,"elegant,dark","refined details,luxurious materials,sophisticated compositions,shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","sophisticated,brooding,intense,mysterious,refined",,,,,
773,Seapunk,"A punk-influenced aesthetic that combines sea elements with rebellious, alternative cultural themes and visual styles.",1980s,fashion,"dark,modern,fantasy","clothing styles,accessories,textiles,patterns,silhouettes,shadows,low lighting,dramatic contrasts","charcoal,neon pink,electric blue,dark gray,black,lime green","brooding,intense,mysterious","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
774,Sega Uranus,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sega Uranus aesthetic.",1930s,fashion,"fantasy,rural","clothing styles,accessories,textiles,patterns,silhouettes",,,,,,,
775,Seiz Breur,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Seiz Breur aesthetic.",2020s,film,"nostalgic,urban","cinematography,set designs,costume design,lighting,visual effects,city landscapes,street art,concrete structures","steel blue,asphalt black,concrete gray,brick red","sentimental,nostalgic,wistful",,,,,
776,Selkiecore,"A core aesthetic centered around selkie themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",2020s,music,"natural,elegant,cute,digital","album covers,concert visuals,music videos,band imagery,sound equipment,organic forms,plant life,natural textures","sunset orange,forest green,earth brown,sky blue","sophisticated,endearing,charming,cute,refined","Softcore,Cottagecore,Fairycore,Darkcore",,,,
777,Sertão,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sertão aesthetic.",1930s,subculture,"vibrant,vintage","antique objects,retro designs,aged textures","cream,dusty rose,sage green,sepia","energetic,vibrant,lively",,,,,
778,Shabby Chic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Shabby Chic aesthetic.",1940s,interior_design,"grungy,digital",,,"grungy,authentic,raw",,,,,
779,Shamate,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Shamate aesthetic.",1960s,fashion,"elegant,urban","clothing styles,accessories,textiles,patterns,silhouettes,refined details,luxurious materials,sophisticated compositions","steel blue,asphalt black,concrete gray,brick red","sophisticated,refined,elegant",,,,,
780,Shanzhai,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Shanzhai aesthetic.",pre-1900s,internet_culture,"digital,fantasy,grungy,pastel","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,soft colors,gentle gradients,light tones","lavender,pastel blue,pastel pink,pastel yellow","grungy,authentic,raw","Internetcore,Webcore,Cybercore,Glitchcore",,,,
781,Sharpies,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sharpies aesthetic.",1940s,internet_culture,"pastel,cute,atmospheric,vibrant,modern","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,soft colors,gentle gradients,light tones","lavender,pastel blue,pastel pink,pastel yellow","evocative,endearing,charming,atmospheric,cute","Internetcore,Webcore,Cybercore,Glitchcore",,,,
782,Shibuya Punk,"A punk-influenced aesthetic that combines shibuya elements with rebellious, alternative cultural themes and visual styles.",pre-1900s,visual_art,"retro,digital,nostalgic",,,"sentimental,nostalgic,wistful","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
783,Shiny Suit 97,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Shiny Suit 97 aesthetic.",2010s,fashion,"digital,rural,fantasy,retro,atmospheric","clothing styles,accessories,textiles,patterns,silhouettes",,"evocative,immersive,atmospheric",,,,,
784,Shironuri,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Shironuri aesthetic.",1980s,film,"urban,vintage,rural","cinematography,set designs,costume design,lighting,visual effects,city landscapes,street art,concrete structures","sage green,neon pink,asphalt black,concrete gray,electric blue,sepia",,,,,,
785,Shoe Diva,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Shoe Diva aesthetic.",1930s,music,"retro,dark,fantasy","album covers,concert visuals,music videos,band imagery,sound equipment,shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,intense,mysterious",,,,,
786,Shoegaze,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Shoegaze aesthetic.",1950s,fashion,"nostalgic,fantasy,digital,futuristic","clothing styles,accessories,textiles,patterns,silhouettes,sleek designs,metallic surfaces,LED lighting","mint green,pink,electric blue,turquoise,neon purple,white","wistful,sentimental,progressive,innovative,nostalgic",,,,,
787,Siberian Punk,"A punk-influenced aesthetic that combines siberian elements with rebellious, alternative cultural themes and visual styles.",1940s,fashion,"digital,edgy","clothing styles,accessories,textiles,patterns,silhouettes",,"edgy,rebellious,bold","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
788,Sigilkore,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sigilkore aesthetic.",1910s,subculture,"edgy,elegant,modern,fantasy","refined details,luxurious materials,sophisticated compositions",,"sophisticated,rebellious,bold,edgy,refined",,,,,
789,Sigma,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sigma aesthetic.",2010s,fashion,"urban,elegant,fantasy,natural","clothing styles,accessories,textiles,patterns,silhouettes,city landscapes,street art,concrete structures","earth brown,sunset orange,asphalt black,concrete gray,brick red,forest green","sophisticated,refined,elegant",,,,,
790,Signalism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Signalism aesthetic.",1970s,visual_art,"bright,dark,minimalist","shadows,low lighting,dramatic contrasts,clean lines,simple forms,negative space,geometric shapes","charcoal,hot pink,electric blue,bright red,dark gray,black","brooding,serene,clean,intense,minimalist",,,,,
791,Silicon Dreams,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Silicon Dreams aesthetic.",1960s,fashion,"dark,urban,fantasy","clothing styles,accessories,textiles,patterns,silhouettes,shadows,low lighting,dramatic contrasts","charcoal,asphalt black,concrete gray,dark gray,brick red,black","brooding,intense,mysterious",,,,,
792,Silkpunk,"A punk-influenced aesthetic that combines silk elements with rebellious, alternative cultural themes and visual styles.",1960s,interior_design,"edgy,rural,futuristic,cute,minimalist","sleek designs,metallic surfaces,LED lighting,geometric shapes,clean lines,simple forms,negative space,geometric shapes","electric blue,metallic silver,neon purple,white","serene,clean,rebellious,progressive,endearing","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
793,Sizz,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sizz aesthetic.",1970s,fashion,"natural,nostalgic,cute,futuristic","clothing styles,accessories,textiles,patterns,silhouettes,organic forms,plant life,natural textures","earth brown,sunset orange,metallic silver,electric blue,neon purple,white","wistful,sentimental,progressive,endearing,charming",,,,,
794,Skater,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Skater aesthetic.",2010s,literary,"modern,cute,futuristic","sleek designs,metallic surfaces,LED lighting,geometric shapes","electric blue,metallic silver,neon purple,white","progressive,endearing,charming,cute,innovative",,,,,
795,Skeuomorphism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Skeuomorphism aesthetic.",1980s,visual_art,"cute,vintage,nostalgic,grungy","antique objects,retro designs,aged textures","neon pink,sage green,electric blue,sepia,lime green,bright purple","wistful,sentimental,endearing,charming,cute",,,,,
796,Skinhead,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Skinhead aesthetic.",1970s,interior_design,"modern,retro,futuristic,natural","sleek designs,metallic surfaces,LED lighting,geometric shapes,organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,forest green,electric blue,neon purple,white","innovative,progressive,futuristic",,,,,
797,Slam Pop,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Slam Pop aesthetic.",1930s,subculture,"retro,fantasy,urban,bright","city landscapes,street art,concrete structures,neon signs","hot pink,asphalt black,concrete gray,electric blue,bright red,brick red",,,,,,
798,Slavic Doll,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Slavic Doll aesthetic.",1930s,music,"atmospheric,modern,rural","album covers,concert visuals,music videos,band imagery,sound equipment",,"evocative,immersive,atmospheric",,,,,
799,Slavic Violence Tumblr,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Slavic Violence Tumblr aesthetic.",1980s,film,"vintage,bright,elegant","cinematography,set designs,costume design,lighting,visual effects,antique objects,retro designs,aged textures","sage green,neon pink,hot pink,electric blue,bright red,sepia","sophisticated,refined,elegant",,,,,
800,Sleepycore,"A core aesthetic centered around sleepy themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1920s,architecture,"vintage,minimalist,vibrant","building designs,structural elements,interior spaces,architectural details,antique objects,retro designs,aged textures,clean lines","sage green,sepia,black,deep red,pearl white,cream","serene,clean,minimalist,energetic,vibrant","Softcore,Cottagecore,Fairycore,Darkcore",,,,
801,Slimepunk,"A punk-influenced aesthetic that combines slime elements with rebellious, alternative cultural themes and visual styles.",1930s,interior_design,"minimalist,edgy,pastel,urban","clean lines,simple forms,negative space,geometric shapes,soft colors,gentle gradients,light tones,city landscapes","pastel pink,asphalt black,concrete gray,pastel blue,lavender,brick red","serene,clean,rebellious,minimalist,bold","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
802,Sloanie,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sloanie aesthetic.",2000s,historical,"minimalist,urban","clean lines,simple forms,negative space,geometric shapes,city landscapes,street art,concrete structures,neon signs","hot pink,asphalt black,concrete gray,electric blue,brick red,lime green","clean,serene,minimalist",,,,,
803,Slutcore,"A core aesthetic centered around slut themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1930s,historical,"vibrant,retro",,,"energetic,vibrant,lively","Softcore,Cottagecore,Fairycore,Darkcore",,,,
804,Snackwave,"A wave aesthetic movement characterized by snack influences, featuring distinctive visual and musical elements.",2010s,internet_culture,"urban,cute","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,city landscapes,street art,concrete structures","steel blue,asphalt black,concrete gray,brick red","cute,endearing,charming","Vaporwave,Dreamwave,Internetcore,Webcore,Synthwave",,,,
805,Snowdrop,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Snowdrop aesthetic.",2020s,historical,"grungy,pastel,cute,vintage,urban","soft colors,gentle gradients,light tones,antique objects,retro designs,aged textures,city landscapes,street art","sage green,pastel pink,asphalt black,concrete gray,pastel blue,lavender","endearing,charming,cute,grungy,authentic",,,,,
806,Socialist Realism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Socialist Realism aesthetic.",1920s,architecture,"natural,retro,nostalgic","building designs,structural elements,interior spaces,architectural details,organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,black,deep red,pearl white,forest green","sentimental,nostalgic,wistful",,,,,
